carat,clarity,color,cut,x dimension,y dimension,z dimension,depth,table,price
0.5,IF,D,Ideal,5.1,5.15,3.2,61.5,57.0,3000
0.7,VVS2,E,Premium,5.7,5.834074074074074,3.52,62.0,59.0,4500
0.7959183673469388,SI2,H,Good,4.3,4.31,3.690748299319728,62.3,56.0,700
1.2,IF,D,Ideal,5.878645833333333,6.82,4.2,61.7,58.0,10000
0.9,I1,J,Fair,6.0,5.834074074074074,3.7,61.7,57.0,2400
0.7959183673469388,SI1,G,Very good,5.9,5.92,3.63,62.3,57.0,4200
0.5,IF,D,Ideal,5.1,5.834074074074074,3.2,61.5,57.0,3100
0.4,VVS1,F,Good,4.8,4.79,2.95,62.3,57.0,1500
1.0,VVS1,F,Ideal,6.4,5.834074074074074,4.0,62.3,58.0,7500
0.4,VVS2,G,Very good,4.9,4.88,3.690748299319728,62.3,56.0,1400
0.7959183673469388,SI2,J,Fair,5.7,5.71,3.54,62.3,54.0,2000
1.1,VVS1,E,Premium,6.6,5.834074074074074,4.08,62.3,57.0,9200
0.55,SI2,H,Good,5.3,5.29,3.690748299319728,62.0,57.0,1800
0.5,SI1,G,Very good,5.2,5.834074074074074,3.2,62.3,56.0,2300
0.6,SI2,H,Good,5.5,5.52,3.690748299319728,62.3,57.0,2200
0.7,I1,J,Fair,5.878645833333333,5.79,3.57,61.6,57.0,2100
0.7959183673469388,VVS1,F,Ideal,6.1,6.15,3.9,61.8,57.0,6000
1.3,SI1,G,Premium,6.9,5.834074074074074,4.3,63.0,60.0,10500
1.4,IF,D,Good,7.1,7.12,3.690748299319728,62.4,59.0,11000
0.7959183673469388,VVS2,E,Good,4.6,4.58,2.85,62.3,56.0,800
1.6,I1,I,Fair,7.3,7.28,4.5,62.3,54.0,3400
0.2,SI1,H,Very good,3.9,3.89,2.41,62.1,57.0,500
0.35,IF,G,Ideal,4.5,4.52,3.690748299319728,61.9,56.0,1300
0.7959183673469388,VVS2,G,Good,4.6,5.834074074074074,2.83,62.2,57.0,1600
0.55,I1,J,Premium,5.4,5.42,3.35,62.1,57.0,2500
0.7959183673469388,VVS1,D,Ideal,6.7,6.71,4.15,62.3,58.0,7700
0.65,SI2,Colorless,Very good,5.6,5.834074074074074,3.47,62.3,58.0,2900
1.5,VVS2,F,Good,7.2,7.18,3.690748299319728,62.7,59.0,10800
0.9,SI2,H,Fair,6.1,6.12,3.78,62.4,57.0,2600
0.7959183673469388,VVS1,E,Premium,6.9,5.834074074074074,4.27,62.2,57.0,9300
0.45,SI2,I,Good,4.9,4.91,3.690748299319728,62.1,56.0,1700
0.6,VVS2,G,Good,5.5,5.49,3.690748299319728,62.3,58.0,2800
0.7959183673469388,SI1,F,Very good,5.3,5.31,3.3,62.0,57.0,2700
0.95,IF,D,Ideal,6.3,5.834074074074074,3.9,62.6,58.0,9400
1.05,SI2,J,Good,6.6,6.58,3.690748299319728,62.7,57.0,8500
0.7959183673469388,I1,G,Fair,5.9,5.834074074074074,3.65,61.9,55.0,2200
0.45,SI2,H,Ideal,4.8,4.82,3.01,62.1,56.0,1500
0.7959183673469388,IF,F,Premium,6.2,5.834074074074074,3.84,61.9,58.0,5900
0.85,VVS1,I,Good,5.8,5.82,3.690748299319728,62.2,55.0,4800
0.95,VVS2,D,Good,6.3,6.31,3.91,62.4,57.0,7300
0.7959183673469388,SI1,E,Fair,6.0,6.01,3.690748299319728,62.3,54.0,2700
0.35,IF,G,Very good,4.6,5.834074074074074,2.85,62.0,57.0,1400
0.55,VVS2,J,Ideal,5.4,5.834074074074074,3.35,62.3,56.0,2600
0.7959183673469388,I1,D,Good,4.8,4.79,2.96,61.8,57.0,1200
1.05,VVS1,F,Premium,6.7,6.69,4.13,62.3,58.0,9500
0.75,SI2,G,Good,5.7,5.71,3.690748299319728,62.5,57.0,3800
0.65,SI1,Colorless,Very good,5.6,5.58,3.48,62.6,57.0,3300
1.4,VVS2,H,Good,7.1,5.834074074074074,4.39,62.7,59.0,11200
0.3,I1,I,Fair,4.4,4.41,3.690748299319728,62.1,55.0,600
0.5,VVS1,E,Premium,5.2,5.22,3.690748299319728,62.3,58.0,2900
1.3,SI2,F,Good,6.9,5.834074074074074,4.26,62.3,57.0,9900
0.7959183673469388,VVS2,D,Good,6.8,6.81,4.21,62.3,59.0,8100
0.4,SI1,J,Very good,4.8,4.78,2.96,62.2,57.0,1400
1.15,IF,G,Ideal,6.5,5.834074074074074,4.02,62.0,58.0,9800
0.7959183673469388,I1,H,Good,5.9,5.88,3.63,62.4,57.0,2100
0.55,SI2,I,Fair,5.3,5.834074074074074,3.29,62.1,54.0,1700
0.6,VVS2,D,Premium,5.6,5.58,3.48,62.3,57.0,3700
0.7959183673469388,SI1,F,Very good,6.1,6.12,3.690748299319728,62.1,59.0,5000
0.35,I1,G,Ideal,4.5,4.52,2.79,62.0,57.0,900
0.75,VVS1,H,Good,5.8,5.81,3.690748299319728,62.3,56.0,4600
