carat,clarity,color,cut,x_dimension,y_dimension,z_dimension,depth,table,price
0.21428571428571425,IF,D,Ideal,0.3529411764705883,0.37168141592920345,0.37799043062200965,0.0,0.5,0.21739130434782608
0.35714285714285704,VVS2,E,Premium,0.5294117647058825,0.5734731781929421,0.5311004784688995,0.3333333333333286,0.8333333333333321,0.34782608695652173
0.4256559766763847,SI2,H,Good,0.11764705882352944,0.12389380530973426,0.6127982293395828,0.5333333333333314,0.33333333333333215,0.017391304347826084
0.7142857142857142,IF,D,Ideal,0.581954656862745,0.864306784660767,0.8564593301435408,0.13333333333333286,0.6666666666666661,0.8260869565217392
0.49999999999999994,I1,J,Fair,0.6176470588235294,0.5734731781929421,0.6172248803827753,0.13333333333333286,0.5,0.16521739130434784
0.4256559766763847,SI1,G,Very good,0.5882352941176472,0.59882005899705,0.5837320574162679,0.5333333333333314,0.5,0.3217391304347826
0.21428571428571425,IF,D,Ideal,0.3529411764705883,0.5734731781929421,0.37799043062200965,0.0,0.5,0.22608695652173913
0.14285714285714285,VVS1,F,Good,0.26470588235294135,0.2654867256637168,0.2583732057416268,0.5333333333333314,0.5,0.08695652173913043
0.5714285714285714,VVS1,F,Ideal,0.7352941176470591,0.5734731781929421,0.7607655502392345,0.5333333333333314,0.6666666666666661,0.6086956521739131
0.14285714285714285,VVS2,G,Very good,0.2941176470588238,0.2920353982300883,0.6127982293395828,0.5333333333333314,0.33333333333333215,0.07826086956521738
0.4256559766763847,SI2,J,Fair,0.5294117647058825,0.5368731563421827,0.5406698564593302,0.5333333333333314,0.0,0.13043478260869568
0.6428571428571428,VVS1,E,Premium,0.7941176470588236,0.5734731781929421,0.799043062200957,0.5333333333333314,0.5,0.7565217391304349
0.25,SI2,H,Good,0.41176470588235303,0.4129793510324482,0.6127982293395828,0.3333333333333286,0.5,0.11304347826086958
0.21428571428571425,SI1,G,Very good,0.3823529411764708,0.5734731781929421,0.37799043062200965,0.5333333333333314,0.33333333333333215,0.1565217391304348
0.28571428571428564,SI2,H,Good,0.47058823529411775,0.4808259587020647,0.6127982293395828,0.5333333333333314,0.5,0.14782608695652175
0.35714285714285704,I1,J,Fair,0.581954656862745,0.5604719764011798,0.5550239234449761,0.06666666666666288,0.5,0.1391304347826087
0.4256559766763847,VVS1,F,Ideal,0.6470588235294119,0.6666666666666667,0.7129186602870814,0.19999999999999574,0.5,0.47826086956521735
0.7857142857142856,SI1,G,Premium,0.882352941176471,0.5734731781929421,0.904306220095694,1.0,1.0,0.8695652173913044
0.857142857142857,IF,D,Good,0.9411764705882355,0.9528023598820057,0.6127982293395828,0.5999999999999943,0.8333333333333321,0.9130434782608696
0.4256559766763847,VVS2,E,Good,0.2058823529411764,0.20353982300884943,0.21052631578947367,0.5333333333333314,0.33333333333333215,0.026086956521739126
1.0,I1,I,Fair,1.0,1.0,1.0000000000000002,0.5333333333333314,0.0,0.25217391304347825
