carat,clarity,color,cut,x dimension,y dimension,z dimension,depth,table,price
0.5,0,1,0,5.1,5.15,3.2,61.5,57.0,3000
0.7,2,2,1,5.7,5.834074074074074,3.52,62.0,59.0,4500
0.7959183673469388,4,5,3,4.3,4.31,3.690748299319728,62.3,56.0,700
1.2,0,1,0,5.878645833333333,6.82,4.2,61.7,58.0,10000
0.9,5,7,4,6.0,5.834074074074074,3.7,61.7,57.0,2400
0.7959183673469388,3,4,2,5.9,5.92,3.63,62.3,57.0,4200
0.5,0,1,0,5.1,5.834074074074074,3.2,61.5,57.0,3100
0.4,1,3,3,4.8,4.79,2.95,62.3,57.0,1500
1.0,1,3,0,6.4,5.834074074074074,4.0,62.3,58.0,7500
0.4,2,4,2,4.9,4.88,3.690748299319728,62.3,56.0,1400
0.7959183673469388,4,7,4,5.7,5.71,3.54,62.3,54.0,2000
1.1,1,2,1,6.6,5.834074074074074,4.08,62.3,57.0,9200
0.55,4,5,3,5.3,5.29,3.690748299319728,62.0,57.0,1800
0.5,3,4,2,5.2,5.834074074074074,3.2,62.3,56.0,2300
0.6,4,5,3,5.5,5.52,3.690748299319728,62.3,57.0,2200
0.7,5,7,4,5.878645833333333,5.79,3.57,61.6,57.0,2100
0.7959183673469388,1,3,0,6.1,6.15,3.9,61.8,57.0,6000
1.3,3,4,1,6.9,5.834074074074074,4.3,63.0,60.0,10500
1.4,0,1,3,7.1,7.12,3.690748299319728,62.4,59.0,11000
0.7959183673469388,2,2,3,4.6,4.58,2.85,62.3,56.0,800
1.6,5,6,4,7.3,7.28,4.5,62.3,54.0,3400
0.2,3,5,2,3.9,3.89,2.41,62.1,57.0,500
0.35,0,4,0,4.5,4.52,3.690748299319728,61.9,56.0,1300
0.7959183673469388,2,4,3,4.6,5.834074074074074,2.83,62.2,57.0,1600
0.55,5,7,1,5.4,5.42,3.35,62.1,57.0,2500
0.7959183673469388,1,1,0,6.7,6.71,4.15,62.3,58.0,7700
0.65,4,0,2,5.6,5.834074074074074,3.47,62.3,58.0,2900
